ds4flash_--flashinfer_cutlass_p8000.log	Selected CutlassFp8BlockScaledMMKernel
pr_ficutlass_p8003.log	GPU KV cache size: 1,029,289 tokens|Using 'FLASHINFER_CUTLASS_MXFP4_MXFP8' Mxfp4 MoE backend|Using FLASHINFER attention backend
pr_mnbt16k_p8000.log	GPU KV cache size: 692,682 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
pr_mnbt16k_p8001.log	GPU KV cache size: 658,811 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
pr_mnbt16k_p8002.log	GPU KV cache size: 690,668 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
pr_mnbt16k_p8003.log	GPU KV cache size: 692,691 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
q27_base_p8000.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
q27_base_p8001.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
q27_base_p8002.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
q27_base_p8003.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
q27_fp8_b12x--_p8000.log	GPU KV cache size: 1,475,801 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
q27_fp8_b12x--_p8001.log	GPU KV cache size: 1,475,801 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
q27_fp8_b12x--_p8002.log	GPU KV cache size: 1,475,801 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
q27_fp8_b12x--_p8003.log	GPU KV cache size: 1,475,801 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
q27_nvfp4_b12x--_p8000.log	GPU KV cache size: 1,768,727 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
q27_nvfp4_b12x--_p8001.log	GPU KV cache size: 1,768,727 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
q27_nvfp4_b12x--_p8002.log	GPU KV cache size: 1,768,727 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
q27_nvfp4_b12x--_p8003.log	GPU KV cache size: 1,768,727 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
q27_nvfp4_redhat_---_p8000.log	GPU KV cache size: 1,658,259 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
q27_nvfp4_redhat_---_p8001.log	GPU KV cache size: 1,658,259 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
q27_nvfp4_redhat_---_p8002.log	GPU KV cache size: 1,658,259 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
q27_nvfp4_redhat_---_p8003.log	GPU KV cache size: 1,658,259 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
q27_nvfp4_unsloth_---_p8000.log	GPU KV cache size: 1,658,259 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
q27_nvfp4_unsloth_---_p8001.log	GPU KV cache size: 1,658,259 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
q27_nvfp4_unsloth_---_p8002.log	GPU KV cache size: 1,658,259 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
q27_nvfp4_unsloth_---_p8003.log	GPU KV cache size: 1,658,259 tokens|Selected CutlassFP8ScaledMMLinearKernel|Using FLASHINFER attention backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
qg_8000.log	GPU KV cache size: 476,494 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
qg_8001.log	GPU KV cache size: 238,247 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
qg_8002.log	GPU KV cache size: 476,502 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
qwen38fn_b12x--_p8000.log	Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend
r2_control.log	
sat_marlin_p8000.log	
sat_marlin_p8001.log	
sat_marlin_p8002.log	GPU KV cache size: 897,779 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
sat_marlin_p8003.log	GPU KV cache size: 897,779 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
sgl_ds4.log	
sglglm_base.log	
sglglm_mtp.log	
sw_gptoss_ficutedsl_p8000.log	Using FLASHINFER attention backend
sw_gptoss_ficutedsl_p8001.log	Using FLASHINFER attention backend
sw_gptoss_ficutedsl_p8002.log	Using FLASHINFER attention backend
sw_gptoss_ficutedsl_p8003.log	Using FLASHINFER attention backend
sw_gptoss_ficutlass_mxfp8_p8000.log	GPU KV cache size: 1,029,289 tokens|Using 'FLASHINFER_CUTLASS_MXFP4_MXFP8' Mxfp4 MoE backend|Using FLASHINFER attention backend
sw_gptoss_ficutlass_mxfp8_p8001.log	GPU KV cache size: 1,029,289 tokens|Using 'FLASHINFER_CUTLASS_MXFP4_MXFP8' Mxfp4 MoE backend|Using FLASHINFER attention backend
sw_gptoss_ficutlass_mxfp8_p8002.log	GPU KV cache size: 1,029,289 tokens|Using 'FLASHINFER_CUTLASS_MXFP4_MXFP8' Mxfp4 MoE backend|Using FLASHINFER attention backend
sw_gptoss_ficutlass_mxfp8_p8003.log	GPU KV cache size: 1,029,289 tokens|Using 'FLASHINFER_CUTLASS_MXFP4_MXFP8' Mxfp4 MoE backend|Using FLASHINFER attention backend
sw_gptoss_ficutlass_plain_p8000.log	Using FLASHINFER attention backend
sw_gptoss_ficutlass_plain_p8001.log	Using FLASHINFER attention backend
sw_gptoss_ficutlass_plain_p8002.log	Using FLASHINFER attention backend
sw_gptoss_ficutlass_plain_p8003.log	Using FLASHINFER attention backend
sw_gptoss_marlin_p8000.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
sw_gptoss_marlin_p8001.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
sw_gptoss_marlin_p8002.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
sw_gptoss_marlin_p8003.log	GPU KV cache size: 928,080 tokens|Using 'MARLIN' Mxfp4 MoE backend|Using FLASHINFER attention backend
vglm_base.log	GPU KV cache size: 2,139,806 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend
vglm_base_hung.log	GPU KV cache size: 2,139,806 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend
vglm_mtp.log	
vllm_dp4.log	GPU KV cache size: 192,946 tokens|Selected B12xFp8BlockScaledMMKernel|Using 'MARLIN' Mxfp4 MoE backend
