tag	label	C	dur_s	req_s	out_tps	in_tps	total_tps	ttft_mean_ms	ttft_p50_ms	ttft_p99_ms	tpot_mean_ms	tpot_p50_ms	tpot_p99_ms	itl_mean_ms	e2e_mean_ms	e2e_p99_ms	completed	shape	in	out	prefix	prompts	ttft_ms	p99_ttft	tpot_ms	p99_tpot	host
ds4flash_dp4ep4_b12x--	router	256	203.4	10.069	1289	10310	11599	6366	5909	16036	149.83	151.55	198.92	149.83	25394	31599	2048										pro6000-s600w
ds4flash_dp4ep4_b12x--	judge	512	1316.1	3.112	1593	12747	14341	15109	8041	122150	292.02	307.06	314.48	292.03	164330	276406	4096										pro6000-s600w
ds4flash_dspark_b12x-b12x	router	256	394.2	5.195	665	5320	5985	4761	1685	54640	335.19	333.25	603.58	523.65	47330	100821	2048										pro6000-s600w
ds4flash_dspark_b12x-b12x	router	1024	170.4	5.729	733	5867	6600	73708	71067	150837	294.92	310.91	393.61	464.02	111163	170049	976										pro6000-s600w
ds4flash_dspark_b12x-b12x	promptopt	1024	339.8	2.872	735	10293	11028	125081	100234	301583	282.68	254.8	461.15	433.28	197166	339276	976										pro6000-s600w
ds4flash_ep_b12x--	router	256	256.6	7.981	1022	8173	9195	3871	2419	24464	221.47	231.16	244.22	221.47	31997	53376	2048										pro6000-s600w
ds4flash_ep_b12x--	router	1024	124.3	7.855	1005	8043	9049	59239	56624	117081	213.82	237.77	246.82	213.88	86394	124125	976										pro6000-s600w
ds4flash_ep_b12x--	promptopt	1024	108.3	9.011	2307	32297	34604	47863	42420	94725	94.56	100.72	104.2	94.57	71976	108108	976										pro6000-s600w
ds4flash_ep_b12x--	judge	512	2102.4	1.948	998	7980	8978	131473	133311	221511	246.4	252.63	255.74	246.4	257382	350763	4096										pro6000-s600w
ds4flash_ep_b12x-marlin	router	256	256.7	7.978	1021	8170	9191	3879	2419	24460	221.5	231.22	244.73	221.5	32010	53371	2048										pro6000-s600w
ds4flash_ep_b12x-marlin	router	1024	124.1	7.864	1007	8053	9059	59148	56971	117360	213.65	236.82	247.11	213.7	86281	123990	976										pro6000-s600w
ds4flash_ep_b12x-marlin	promptopt	1024	107.7	9.065	2321	32491	34811	47329	41586	94475	94.59	100.79	106.57	94.59	71449	107465	976										pro6000-s600w
ds4flash_ep_b12x-marlin	judge	512	2102.5	1.948	997	7980	8977	131476	133285	221927	246.43	252.7	255.86	246.43	257404	351198	4096										pro6000-s600w
ds_marlin_ep	judge	256	142.2	2.138	912	9671	10583	41217	39079	95569	263.9	198.4	745.0	184.5	114812.2	136385.7	304										pro6000-s600w
ds_marlin_ep	promptopt	512	174.6	11.728	3002	45034	48036	5524	3090	25166	148.8	158.2	166.4	148.8	43459.6	64654.8	2048										pro6000-s600w
ds_marlin_ep	router	1024	105.7	9.236	1182	10640	11822	49010	46122	97124	317.1	400.2	404.8	317.1	89277.7	105581.0	976										pro6000-s600w
ds_marlin_ep	router	256	241.8	8.471	1084	9759	10843	3499	2174	22374	209.8	210.6	281.7	209.8	30146.9	48948.2	2048										pro6000-s600w
ds_marlin_ep	router	512	217.2	9.428	1207	10861	12068	7981	2936	45969	361.8	401.6	413.8	361.8	53924.6	96237.1	2048										pro6000-s600w
ds_marlin_ep	router	256	241.8	8.471	1084	8675	9759	3499	2174	22374	209.83	210.56	281.69	209.83	30147	48948	2048										pro6000-s600w
ds_marlin_ep	router	512	217.2	9.428	1207	9654	10861	7981	2936	45969	361.76	401.56	413.77	361.78	53925	96237	2048										pro6000-s600w
ds_marlin_ep	router	1024	105.7	9.236	1182	9457	10640	49010	46122	97124	317.07	400.23	404.77	317.14	89278	105581	976										pro6000-s600w
ds_marlin_ep	promptopt	512	174.6	11.728	3002	42032	45034	5524	3090	25166	148.77	158.18	166.37	148.77	43460	64655	2048										pro6000-s600w
full_gptoss	judge	1024	561.6	14.586	7468	67214	74682	3873	1404	40640	129.2	134.0	135.3	129.2	69908.9	108471.6	8192										pro6000-s600w
full_gptoss	promptopt	2048	213.0	76.912	19689	295342	315031	2012	1388	11465	96.2	98.1	101.8	96.2	26533.0	36228.5	16384										pro6000-s600w
full_gptoss	router	2048	210.8	77.716	9948	89529	99476	2358	1024	20060	187.6	196.7	200.7	187.6	26180.1	44436.6	16384										pro6000-s600w
full_gptoss	short	2048	65.5	250.258	16017	80083	96099	1367	1195	5485	107.5	109.7	122.9	107.5	8138.4	12307.5	16384										pro6000-s600w
full_gptoss	short	2048	65.8	250.258	16017	64066	80083	1367	1304	5659	107.48	112.34	123.68	107.5	8138	12497	16384										pro6000-s600w
full_gptoss	router	2048	211.1	77.716	9948	79581	89529	2358	1026	20245	187.57	196.97	201.36	187.58	26180	44779	16384										pro6000-s600w
full_gptoss	promptopt	2048	213.4	76.912	19689	275653	295342	2012	1474	11659	96.16	98.31	101.99	96.17	26533	36435	16384										pro6000-s600w
full_gptoss	judge	1024	562.6	14.586	7468	59745	67214	3873	1405	40717	129.23	134.17	135.74	129.23	69909	108647	8192										pro6000-s600w
gemma26_---	router	256	44.2	46.735	5982	47857	53839	822	793	2338	36.57	36.97	42.03	36.57	5467	6922	2048										pro6000-s600w
gemma26_---	router	1024	115.4	71.243	9119	72953	82072	1411	1084	8493	101.53	105.1	110.14	101.54	14306	21743	8192										pro6000-s600w
gemma26_---	promptopt	1024	136.2	60.554	15502	217026	232528	1421	1215	5414	60.6	61.48	65.44	60.6	16873	20853	8192										pro6000-s600w
gemma26_---	judge	512	291.0	14.12	7229	57835	65065	2244	1422	17192	66.37	68.72	69.73	66.37	36161	52533	4096										pro6000-s600w
gen5_ds4_tp4ep4		16	15.7	4.06	260	1040	1300										64	short	256	64	0	64	2592	9846	21.3	79.1	pro6000-s600w
gen5_ds4_tp4ep4		64	16.4	7.83	501	2004	2505										128	short	256	64	0	128	5770	11119	37.9	49.4	pro6000-s600w
gen5_ds4_tp4ep4		256	9.3	27.5	1760	7041	8801										256	short	256	64	0	256	3503	6090	89.9	135.7	pro6000-s600w
gen5_ds4_tp4ep4		16	15.7	4.06	520	4161	4681										64	router	1024	128	0	64	1039	1541	22.7	29.5	pro6000-s600w
gen5_ds4_tp4ep4		64	19.2	6.66	852	6819	7671										128	router	1024	128	0	128	2877	5911	52.6	71.7	pro6000-s600w
gen5_ds4_tp4ep4		256	30.0	8.52	1091	8725	9815										256	router	1024	128	0	256	12320	23665	135.2	221.1	pro6000-s600w
gen5_ds4_tp4ep4		16	31.9	2.0	513	7179	7692										64	promptopt	512	256	3072	64	2964	10280	19.7	35.0	pro6000-s600w
gen5_ds4_tp4ep4		64	21.8	5.86	1500	20997	22496										128	promptopt	512	256	3072	128	2070	3510	34.6	40.4	pro6000-s600w
gen5_ds4_tp4ep4		256	35.8	7.15	1831	25629	27460										256	promptopt	512	256	3072	256	7025	12618	111.7	132.9	pro6000-s600w
gen5_ds4_tp4ep4		16	62.8	1.02	522	4175	4697										64	judge	4096	512	0	64	2808	6007	25.2	30.0	pro6000-s600w
gen5_gptoss_x4		16	2.7	24.04	1538	6153	7692										64	short	256	64	0	64	82	103	9.3	10.1	pro6000-s600w
gen5_gptoss_x4		64	2.3	58.3	3731	14925	18656										128	short	256	64	0	128	160	268	14.9	16.5	pro6000-s600w
gen5_gptoss_x4		256	2.4	113.43	7260	29039	36299										256	short	256	64	0	256	483	784	27.7	31.4	pro6000-s600w
gen5_gptoss_x4		16	5.6	11.48	1469	11754	13223										64	router	1024	128	0	64	152	195	9.8	10.5	pro6000-s600w
gen5_gptoss_x4		64	4.8	26.72	3420	27364	30784										128	router	1024	128	0	128	282	602	16.6	19.5	pro6000-s600w
gen5_gptoss_x4		256	5.2	51.31	6568	52544	59112										256	router	1024	128	0	256	626	1338	33.8	37.6	pro6000-s600w
gen5_gptoss_x4		16	10.8	5.96	1525	21357	22882										64	promptopt	512	256	3072	64	169	299	9.9	10.4	pro6000-s600w
gen5_gptoss_x4		64	9.9	13.11	3357	46992	50348										128	promptopt	512	256	3072	128	453	588	17.3	18.6	pro6000-s600w
gen5_gptoss_x4		256	9.4	27.46	7029	98405	105434										256	promptopt	512	256	3072	256	1096	1624	32.1	34.9	pro6000-s600w
gen5_gptoss_x4		16	22.9	2.82	1441	11531	12973										64	judge	4096	512	0	64	442	592	10.3	11.0	pro6000-s600w
gen5_gptoss_x4		64	21.1	6.17	3156	25252	28408										128	judge	4096	512	0	128	706	2091	18.9	21.6	pro6000-s600w
gen5_gptoss_x4		128	13.6	9.58	4905	39240	44145										128	judge	4096	512	0	128	352	520	25.2	25.7	pro6000-s600w
gen5_gptoss_x4		16	44.6	0.74	1506	6024	7530										32	rollout	8192	2048	0	32	621	831	10.3	10.9	pro6000-s600w
gen5_gptoss_x4		64	42.3	1.53	3142	12568	15710										64	rollout	8192	2048	0	64	743	1719	20.0	20.5	pro6000-s600w
glm53f_dp2tp2ep2_s384	router	1024	403.4	10.153	1300	10397	11696	72203	76379	99046	151.67	152.99	173.55	151.67	91465	118457	4096										pro6000-s600w
glm53f_dp2tp2ep2_s384	promptopt	1024	498.2	8.222	2105	29468	31573	87281	90888	117574	95.41	96.21	109.83	95.95	111611	142801	4096										pro6000-s600w
glm53f_dp4ep4_s192	router	1024	488.6	8.383	1073	8585	9658	96602	104336	118779	92.86	89.13	103.91	92.89	108396	130093	4096										pro6000-s600w
glm53f_dp4ep4_s192	promptopt	1024	1191.5	3.438	880	12321	13201	231527	253114	283764	134.32	133.43	151.03	134.34	265779	319859	4096										pro6000-s600w
glm53f_s512	router	1024	137.1	7.117	911	7288	8199	63803	67149	130585	203.97	221.04	231.88	203.97	89707	137044	976										pro6000-s600w
glm53f_s512	promptopt	1024	251.9	3.875	992	13887	14878	114768	121597	239116	194.15	210.46	219.5	194.16	164275	251730	976										pro6000-s600w
glm53f_s512_moecutlass	router	1024	631.5	6.486	830	6642	7472	115507	128911	146312	221.43	224.17	236.94	221.43	143629	174766	4096										pro6000-s600w
glm53f_s512_moecutlass	promptopt	1024	1145.1	3.577	916	12820	13735	207727	231970	261786	207.84	210.76	221.35	207.84	260726	315484	4096										pro6000-s600w
glm53f_s512_mtp	router	1024	210.9	4.627	592	4738	5330	100192	100786	201469	131.28	135.21	180.8	169.13	116865	209799	976										pro6000-s600w
glm53f_s512_mtp	promptopt	1024	621.2	1.571	402	5631	6034	298557	297708	599341	181.92	193.0	241.27	222.13	344947	619376	976										pro6000-s600w
glm53f_tp4ep4_s512	router	1024	134.2	7.274	931	7449	8380	62401	65979	128278	200.49	217.29	227.91	200.49	87864	134082	976										pro6000-s600w
glm53f_tp4ep4_s512	promptopt	1024	248.0	3.936	1008	14108	15115	112868	119636	235129	190.95	207.07	215.89	190.96	161559	247804	976										pro6000-s600w
moe_default		256	6.5	39.84	5099	40793	45893										256	router	1024	128	0	256	1620	2754	37.2	47.5	pro6000-s600w
moe_default		256	9.7	26.62	6815	95407	102222										256	promptopt	512	256	3072	256	1251	1767	32.6	35.8	pro6000-s600w
moe_default		64	22.8	5.64	2888	23102	25989										128	judge	4096	512	0	128	1308	2137	19.6	22.1	pro6000-s600w
moe_marlin		256	6.4	40.48	5181	41447	46628										256	router	1024	128	0	256	1593	2688	36.7	46.4	pro6000-s600w
moe_marlin		256	9.7	26.89	6883	96365	103248										256	promptopt	512	256	3072	256	1232	1712	32.3	35.6	pro6000-s600w
moe_marlin		64	22.5	5.78	2961	23686	26646										128	judge	4096	512	0	128	1288	2077	19.1	21.5	pro6000-s600w
muse30_---	router	256	114.9	17.961	2299	18392	20691	3163	3177	9343	87.14	87.1	110.48	87.14	14230	20205	2048										pro6000-s600w
muse30_---	router	1024	349.2	23.662	3029	24230	27259	5493	3478	35198	296.76	312.53	335.57	296.76	43181	74574	8192										pro6000-s600w
muse30_---	promptopt	1024	272.3	30.279	7751	108519	116271	4685	4771	19775	114.05	117.18	130.4	114.05	33767	49094	8192										pro6000-s600w
muse30_---	judge	512	804.5	5.131	2627	21018	23645	8535	4720	70179	178.23	188.26	192.74	178.23	99608	165841	4096										pro6000-s600w
n2_RedHat_auto	judge	512	1068.3	3.834	1963	17668	19631	11718	5798	95490	238.1	249.1	254.0	238.1	133364.5	223384.8	4096										pro6000-s600w
n2_RedHat_auto	promptopt	1024	1050.8	7.796	1996	29935	31931	12786	5973	100529	464.0	490.5	500.3	464.0	131117.0	219251.9	8192										pro6000-s600w
n2_RedHat_auto	router	1024	512.1	15.998	2048	18430	20477	7120	4408	48737	447.0	469.0	487.1	447.0	63895.2	108322.1	8192										pro6000-s600w
n2_RedHat_auto	router	256	136.1	15.044	1926	17331	19256	4239	4118	12684	100.5	101.3	125.8	100.5	17002.9	26262.6	2048										pro6000-s600w
n2_RedHat_auto	router	256	136.4	15.044	1926	15405	17331	4239	4126	12706	100.5	101.46	125.95	100.5	17003	26322	2048										pro6000-s600w
n2_RedHat_auto	router	1024	513.1	15.998	2048	16382	18430	7120	4415	48975	447.05	470.03	491.82	447.05	63895	108613	8192										pro6000-s600w
n2_RedHat_auto	promptopt	1024	1052.5	7.796	1996	27940	29935	12786	5981	100742	464.04	491.31	502.53	464.04	131117	219288	8192										pro6000-s600w
n2_RedHat_auto	judge	512	1070.9	3.834	1963	15705	17668	11718	6779	95614	238.06	249.63	254.74	238.06	133365	223677	4096										pro6000-s600w
n2_b12x	judge	512	476.6	8.594	4400	39603	44003	4048	2086	32030	108.4	112.1	113.6	108.4	59440.4	89495.0	4096										pro6000-s600w
n2_b12x	promptopt	1024	436.5	18.767	4804	72064	76868	4453	2104	33467	195.8	205.0	208.5	195.8	54386.8	82662.3	8192										pro6000-s600w
n2_b12x	router	1024	203.2	40.318	5161	46446	51607	2403	1469	16528	180.4	186.9	193.2	180.4	25314.2	40545.3	8192										pro6000-s600w
n2_b12x	router	256	61.1	33.500	4288	38592	42880	1431	1335	4214	48.8	49.5	56.4	48.8	7630.5	10733.3	2048										pro6000-s600w
n2_b12x	router	256	61.3	33.5	4288	34304	38592	1431	1347	4240	48.82	49.66	56.59	48.82	7631	10755	2048										pro6000-s600w
n2_b12x	router	1024	203.7	40.318	5161	41286	46446	2403	1473	16686	180.4	187.34	193.82	180.4	25314	40832	8192										pro6000-s600w
n2_b12x	promptopt	1024	437.6	18.767	4804	67260	72064	4453	2108	33576	195.82	205.88	209.15	195.82	54387	82872	8192										pro6000-s600w
n2_b12x	judge	512	477.7	8.594	4400	35203	39603	4048	2312	32105	108.4	112.32	113.85	108.4	59440	89705	4096										pro6000-s600w
n2_cutlass	judge	512	476.8	8.590	4398	39584	43982	3917	1940	31459	108.7	112.3	113.7	108.7	59452.3	88978.4	4096										pro6000-s600w
n2_cutlass	promptopt	1024	433.2	18.911	4841	72617	77458	4347	2058	32990	194.5	203.5	206.6	194.5	53956.5	82420.9	8192										pro6000-s600w
n2_cutlass	router	1024	202.7	40.416	5173	46559	51732	2365	1458	16055	180.2	187.1	192.2	180.2	25246.2	39865.0	8192										pro6000-s600w
n2_cutlass	router	256	62.6	32.741	4191	37718	41909	1360	1292	4045	50.8	51.2	58.0	50.8	7805.5	10788.3	2048										pro6000-s600w
n2_cutlass	router	256	62.7	32.741	4191	33527	37718	1360	1296	4084	50.75	51.39	58.26	50.75	7805	10851	2048										pro6000-s600w
n2_cutlass	router	1024	203.3	40.416	5173	41386	46559	2365	1463	16156	180.16	187.71	192.98	180.17	25246	40043	8192										pro6000-s600w
n2_cutlass	promptopt	1024	434.4	18.911	4841	67776	72617	4347	2066	33116	194.55	203.94	207.02	194.55	53957	82739	8192										pro6000-s600w
n2_cutlass	judge	512	477.4	8.59	4398	35186	39584	3917	2272	31587	108.68	112.61	113.93	108.68	59452	89198	4096										pro6000-s600w
n2_flashinfer_b12x	judge	512	471.5	8.687	4448	40030	44478	4076	2173	31652	107.1	110.7	112.3	107.1	58806.0	88467.6	4096										pro6000-s600w
n2_flashinfer_b12x	promptopt	1024	433.1	18.913	4842	72625	77467	4426	2084	33147	194.3	203.3	206.6	194.3	53965.8	82092.8	8192										pro6000-s600w
n2_flashinfer_b12x	router	1024	202.3	40.487	5182	46641	51824	2379	1462	16394	179.8	186.2	192.4	179.8	25209.1	40373.2	8192										pro6000-s600w
n2_flashinfer_b12x	router	256	60.9	33.628	4304	38739	43043	1397	1314	4142	48.9	49.4	56.2	48.9	7601.7	10558.6	2048										pro6000-s600w
n2_flashinfer_b12x	router	256	61.3	33.628	4304	34435	38739	1397	1321	4258	48.86	49.57	56.36	48.86	7602	10676	2048										pro6000-s600w
n2_flashinfer_b12x	router	1024	202.8	40.487	5182	41459	46641	2379	1465	16531	179.77	186.73	193.11	179.77	25209	40600	8192										pro6000-s600w
n2_flashinfer_b12x	promptopt	1024	434.0	18.913	4842	67784	72625	4426	2092	33222	194.27	203.58	206.95	194.27	53966	82515	8192										pro6000-s600w
n2_flashinfer_b12x	judge	512	472.7	8.687	4448	35582	40030	4076	2292	31781	107.1	110.89	112.58	107.1	58806	88771	4096										pro6000-s600w
n2_flashinfer_cutedsl	judge	512	1294.1	3.165	1621	14585	16206	15013	8016	120049	286.8	300.9	307.6	286.8	161589.9	274553.4	4096										pro6000-s600w
n2_flashinfer_cutedsl	promptopt	1024	1281.1	6.394	1637	24555	26192	15834	7450	125546	564.9	597.6	606.1	564.9	159888.6	270305.5	8192										pro6000-s600w
n2_flashinfer_cutedsl	router	1024	627.7	13.052	1671	15036	16706	8926	5517	61411	546.5	574.1	593.9	546.5	78336.4	134380.5	8192										pro6000-s600w
n2_flashinfer_cutedsl	router	256	163.0	12.562	1608	14471	16079	5308	5200	15841	118.6	119.4	151.2	118.6	20366.2	31822.0	2048										pro6000-s600w
n2_flashinfer_cutedsl	router	256	163.5	12.562	1608	12863	14471	5308	5205	15873	118.56	119.76	151.61	118.56	20366	31897	2048										pro6000-s600w
n2_flashinfer_cutedsl	router	1024	628.6	13.052	1671	13365	15036	8926	5522	61473	546.54	575.01	594.85	546.54	78336	134567	8192										pro6000-s600w
n2_flashinfer_cutedsl	promptopt	1024	1283.7	6.394	1637	22918	24555	15834	7457	125807	564.92	598.77	607.22	564.92	159889	270817	8192										pro6000-s600w
n2_flashinfer_cutedsl	judge	512	1295.7	3.165	1621	12965	14585	15013	8515	120148	286.84	302.08	307.96	286.84	161590	274925	4096										pro6000-s600w
n2_unsloth_auto	judge	512	1069.4	3.830	1961	17650	19612	11855	5801	95464	238.1	249.3	254.2	238.1	133500.4	223325.4	4096										pro6000-s600w
n2_unsloth_auto	promptopt	1024	1050.9	7.795	1996	29933	31929	12686	5971	100467	464.5	490.6	496.9	464.5	131125.2	219411.9	8192										pro6000-s600w
n2_unsloth_auto	router	1024	512.0	16.000	2048	18431	20479	7128	4407	48932	446.9	469.0	483.8	446.9	63888.1	108508.0	8192										pro6000-s600w
n2_unsloth_auto	router	256	136.0	15.059	1928	17348	19276	4294	4117	12672	99.9	101.1	125.3	99.9	16985.7	26236.5	2048										pro6000-s600w
n2_unsloth_auto	router	256	136.2	15.059	1928	15421	17348	4294	4127	12719	99.93	101.2	125.66	99.93	16986	26253	2048										pro6000-s600w
n2_unsloth_auto	router	1024	513.4	16.0	2048	16384	18431	7128	4415	49147	446.93	470.19	484.23	446.93	63888	108873	8192										pro6000-s600w
n2_unsloth_auto	promptopt	1024	1053.4	7.795	1996	27938	29933	12686	5982	100592	464.47	491.78	498.17	464.47	131125	219830	8192										pro6000-s600w
n2_unsloth_auto	judge	512	1072.7	3.83	1961	15689	17650	11855	6775	95644	238.05	250.42	255.23	238.05	133500	223824	4096										pro6000-s600w
n_ds4_tp4_b12x		16	6.7	9.58	613	2453	3066										64	short	256	64	0	64	364	521	20.7	25.8	pro6000-s600w
n_ds4_tp4_b12x		64	16.7	7.66	490	1961	2451										128	short	256	64	0	128	4797	10935	56.2	177.3	pro6000-s600w
n_ds4_tp4_b12x		256	9.0	28.54	1827	7307	9134										256	short	256	64	0	256	3404	5721	86.0	128.5	pro6000-s600w
n_ds4_tp4_b12x		16	16.3	3.93	504	4029	4533										64	router	1024	128	0	64	1007	1450	24.0	30.3	pro6000-s600w
n_ds4_tp4_b12x		64	18.6	6.87	880	7039	7919										128	router	1024	128	0	128	2616	5387	52.4	68.7	pro6000-s600w
n_ds4_tp4_b12x		256	27.6	9.26	1186	9486	10671										256	router	1024	128	0	256	11002	21110	126.4	199.5	pro6000-s600w
n_ds4_tp4_b12x		16	23.9	2.68	686	9600	10285										64	promptopt	512	256	3072	64	799	1269	20.3	22.4	pro6000-s600w
n_ds4_tp4_b12x		64	31.9	4.02	1028	14391	15419										128	promptopt	512	256	3072	128	2586	11843	52.3	76.9	pro6000-s600w
n_ds4_tp4_b12x		256	25.5	10.05	2572	36010	38582										256	promptopt	512	256	3072	256	6545	11713	73.1	92.8	pro6000-s600w
n_ds4_tp4_b12x		16	62.8	1.02	522	4174	4695										64	judge	4096	512	0	64	2433	5393	25.9	30.1	pro6000-s600w
n_ds4_tp4_b12x		64	75.4	1.7	869	6952	7821										128	judge	4096	512	0	128	6816	21303	60.1	71.7	pro6000-s600w
n_ds4_tp4_b12x		128	63.7	2.01	1029	8235	9265										128	judge	4096	512	0	128	22101	42827	79.6	118.0	pro6000-s600w
n_ds4_tp4_b12x		16	106.7	0.3	614	2457	3072										32	rollout	8192	2048	0	32	4671	10804	23.7	26.1	pro6000-s600w
n_ds4_tp4_b12x		64	112.2	0.57	1168	4672	5840										64	rollout	8192	2048	0	64	22045	42487	43.7	53.2	pro6000-s600w
n_fp8	judge	512	749.2	5.467	2799	25194	27993	7501	4010	59271	168.2	175.1	178.2	168.2	93469.8	148975.0	4096										pro6000-s600w
n_fp8	promptopt	1024	701.1	11.686	2992	44873	47864	11306	7346	60723	295.4	310.4	319.6	295.4	86629.2	136933.3	8192										pro6000-s600w
n_fp8	router	1024	333.3	24.580	3146	28316	31463	4378	2702	30197	292.7	306.0	317.4	292.7	41553.3	69035.1	8192										pro6000-s600w
n_fp8	router	256	99.2	20.641	2642	23779	26421	2616	2501	8000	76.9	77.5	91.5	76.9	12386.5	18370.1	2048										pro6000-s600w
n_fp8	router	256	99.2	20.748	2656	21246	23901	2586	2520	7813	76.67	77.53	91.7	76.67	12323	18102	2048										pro6000-s600w
n_fp8	router	1024	291.6	24.6	3037	25190	28227	4648	2716	30324	303.65	307.67	403.37	298.74	41135	69379	7170										pro6000-s600w
n_fp8	router	256	99.4	20.713	2651	21210	23861	2615	2522	7935	76.6	77.62	92.11	76.6	12343	18226	2048										pro6000-s600w
n_fp8	router	1024	335.3	24.596	3148	25186	28334	4380	2718	30235	292.5	307.75	320.43	292.5	41528	69307	8192										pro6000-s600w
n_fp8	router	256	99.7	20.649	2643	21145	23788	2614	2523	8035	76.91	77.95	91.92	76.91	12382	18465	2048										pro6000-s600w
n_fp8	router	256	99.8	20.641	2642	21137	23779	2616	2524	8060	76.93	77.8	92.16	76.93	12387	18468	2048										pro6000-s600w
n_fp8	router	1024	335.7	24.58	3146	25170	28316	4378	2724	30517	292.72	308.19	319.4	292.72	41553	69637	8192										pro6000-s600w
n_fp8	promptopt	1024	706.3	11.686	2992	41881	44873	11306	7407	61222	295.38	312.84	321.56	295.38	86629	137969	8192										pro6000-s600w
n_fp8	judge	512	753.6	5.467	2799	22395	25194	7501	4226	59776	168.24	176.58	179.13	168.24	93470	150052	4096										pro6000-s600w
n_nvfp4	judge	512	43.8	3.537	136	14625	14762	22232	22794	40285	1752.5	1651.7	3778.3	1649.9	40770.3	40775.8	155										pro6000-s600w
n_nvfp4	promptopt	1024	1280.7	6.397	1638	24563	26200	15837	7455	125653	564.7	596.9	606.6	564.7	159836.4	270489.4	8192										pro6000-s600w
n_nvfp4	router	1024	627.7	13.050	1670	15034	16704	8928	5521	61430	546.6	574.2	596.4	546.6	78348.0	134406.2	8192										pro6000-s600w
n_nvfp4	router	256	163.1	12.557	1607	14466	16073	5352	5204	15852	118.3	119.4	151.3	118.3	20373.4	31840.1	2048										pro6000-s600w
n_nvfp4	router	256	163.5	12.557	1607	12859	14466	5352	5209	15877	118.28	119.74	151.63	118.28	20373	31906	2048										pro6000-s600w
n_nvfp4	router	1024	628.9	13.05	1670	13363	15034	8928	5527	61847	546.62	575.22	601.27	546.62	78348	134994	8192										pro6000-s600w
n_nvfp4	promptopt	1024	1282.7	6.397	1638	22925	24563	15837	7461	125822	564.7	597.78	607.37	564.7	159836	270866	8192										pro6000-s600w
pr_control	router	1024	121.5	67.415	8629	77662	86291	1582	974	9853	106.6	110.3	115.6	106.6	15121.7	23733.7	8192										pro6000-s600w
pr_control	short	1024	40.6	201.935	12924	64619	77543	1045	949	2943	63.6	63.8	75.8	63.6	5049.8	6753.4	8192										pro6000-s600w
pr_control	short	1024	40.8	201.935	12924	51695	64619	1045	973	3041	63.57	64.01	76.29	63.59	5050	6921	8192										pro6000-s600w
pr_control	router	1024	121.8	67.415	8629	69033	77662	1582	979	9934	106.61	110.76	115.75	106.62	15122	23824	8192										pro6000-s600w
pr_ficutlass	router	1024	96.1	85.255	10913	98214	109127	1068	646	6562	85.6	87.8	90.9	85.6	11935.7	17663.5	8192										pro6000-s600w
pr_ficutlass	short	1024	35.6	230.428	14747	73737	88484	692	605	2173	59.1	59.4	65.7	59.1	4416.1	5858.6	8192										pro6000-s600w
pr_ficutlass	short	1024	35.7	230.428	14747	58990	73737	692	676	2226	59.11	60.77	66.09	59.13	4416	6008	8192										pro6000-s600w
pr_ficutlass	router	1024	96.3	85.255	10913	87301	98214	1068	653	6582	85.57	88.18	91.19	85.57	11936	17813	8192										pro6000-s600w
